Time,Axis1,Axis2,Axis3,VM,Active
947023680,0,0,0,0,FALSE
947023740,0,0,0,0,FALSE
947023800,0,0,0,0,FALSE
947023860,0,0,0,0,FALSE
947023920,0,0,0,0,FALSE
947023980,0,0,0,0,FALSE
947024040,0,0,0,0,FALSE
947024100,0,0,0,0,FALSE
947024160,0,0,0,0,FALSE
947024220,0,0,0,0,FALSE
947024280,0,0,0,0,FALSE
947024340,0,0,0,0,FALSE
947024400,0,0,0,0,FALSE
947024460,0,0,0,0,FALSE
947024520,0,0,0,0,FALSE
947024580,0,0,0,0,FALSE
947024640,0,0,0,0,FALSE
947024700,0,0,0,0,FALSE
947024760,0,0,0,0,FALSE
947024820,0,0,0,0,FALSE
947024880,0,0,0,0,FALSE
947024940,0,0,0,0,FALSE
947025000,0,0,0,0,FALSE
947025060,0,0,0,0,FALSE
947025120,0,0,0,0,FALSE
947025180,0,0,0,0,FALSE
947025240,0,0,0,0,FALSE
947025300,0,0,0,0,FALSE
947025360,1019,522,935,1478,TRUE
947025420,385,135,302,508,TRUE
947025480,0,0,0,0,FALSE
947025540,0,0,0,0,FALSE
947025600,0,0,0,0,FALSE
947025660,0,0,0,0,FALSE
947025720,0,0,0,0,FALSE
947025780,2,0,0,2,FALSE
947025840,0,0,0,0,FALSE
947025900,613,593,956,1281,TRUE
947025960,0,0,0,0,FALSE
947026020,0,0,0,0,FALSE
947026080,0,0,0,0,FALSE
947026140,0,0,0,0,FALSE
947026200,0,0,0,0,FALSE
947026260,0,0,0,0,FALSE
947026320,0,0,0,0,FALSE
947026380,0,0,0,0,FALSE
947026440,0,0,0,0,FALSE
947026500,0,0,0,0,FALSE
947026560,0,0,0,0,FALSE
947026620,0,0,0,0,FALSE
947026680,0,0,0,0,FALSE
947026740,0,0,0,0,FALSE
947026800,0,0,0,0,FALSE
947026860,0,0,0,0,FALSE
947026920,0,0,0,0,FALSE
947026980,0,0,0,0,FALSE
947027040,0,0,0,0,FALSE
947027100,0,0,0,0,FALSE
947027160,0,0,0,0,FALSE
947027220,0,0,0,0,FALSE
947027280,0,0,0,0,FALSE
947027340,0,0,0,0,FALSE
947027400,0,0,0,0,FALSE
947027460,0,0,0,0,FALSE
947027520,0,0,0,0,FALSE
947027580,0,0,0,0,FALSE
947027640,0,0,0,0,FALSE
947027700,0,0,0,0,FALSE
947027760,0,0,0,0,FALSE
947027820,0,0,0,0,FALSE
947027880,0,0,0,0,FALSE
947027940,0,0,0,0,FALSE
947028000,0,0,0,0,FALSE
947028060,0,0,0,0,FALSE
947028120,0,0,0,0,FALSE
947028180,0,0,0,0,FALSE
947028240,0,0,0,0,FALSE
947028300,0,0,0,0,FALSE
947028360,0,0,0,0,FALSE
947028420,0,0,0,0,FALSE
947028480,0,0,0,0,FALSE
947028540,0,0,0,0,FALSE
947028600,0,0,0,0,FALSE
947028660,0,0,0,0,FALSE
947028720,0,0,0,0,FALSE
947028780,0,0,0,0,FALSE
947028840,0,0,0,0,FALSE
947028900,0,0,0,0,FALSE
947028960,0,0,0,0,FALSE
947029020,0,0,0,0,FALSE
947029080,0,0,0,0,FALSE
947029140,0,0,0,0,FALSE
947029200,0,0,0,0,FALSE
947029260,0,0,0,0,FALSE
947029320,0,0,0,0,FALSE
947029380,0,0,0,0,FALSE
947029440,0,0,0,0,FALSE
947029500,0,0,0,0,FALSE
947029560,0,0,0,0,FALSE
947029620,0,0,0,0,FALSE
947029680,0,0,0,0,FALSE
947029740,0,0,0,0,FALSE
947029800,0,0,0,0,FALSE
947029860,0,0,0,0,FALSE
947029920,0,0,0,0,FALSE
947029980,0,0,8,8,FALSE
947030040,14,21,46,52,TRUE
947030100,0,0,0,0,FALSE
947030160,0,0,0,0,FALSE
947030220,0,0,0,0,FALSE
947030280,0,0,0,0,FALSE
947030340,0,0,0,0,FALSE
947030400,0,0,0,0,FALSE
947030460,0,0,0,0,FALSE
947030520,0,0,0,0,FALSE
947030580,0,0,0,0,FALSE
947030640,0,0,0,0,FALSE
947030700,0,0,0,0,FALSE
947030760,0,0,0,0,FALSE
947030820,0,0,0,0,FALSE
947030880,0,0,0,0,FALSE
947030940,0,0,0,0,FALSE
947031000,0,0,0,0,FALSE
947031060,0,0,0,0,FALSE
947031120,0,0,0,0,FALSE
947031180,0,0,0,0,FALSE
947031240,0,0,0,0,FALSE
947031300,0,0,0,0,FALSE
947031360,0,0,0,0,FALSE
947031420,0,0,0,0,FALSE
947031480,0,0,0,0,FALSE
947031540,0,0,0,0,FALSE
947031600,0,0,0,0,FALSE
947031660,0,0,0,0,FALSE
947031720,0,0,0,0,FALSE
